doc;tech;domain;country;result
247energy.pdf;hard;energy transition;benelux;
actblade.pdf;hard;energy transition;other;Out
adlatusrobotics.pdf;hard;industry 4.0;germany;Very Unfavorable
aerleum.pdf;hard;energy transition;france;Very Unfavorable
aiblox.pdf;hard;industry 4.0;benelux;Out
air booster.pdf;hard;energy transition;france;Very Unfavorable
aircision.pdf;hard;industry 4.0;benelux;Very Unfavorable
airthium.pdf;hard;industry 4.0;other;Out
aithra.pdf;hard;industry 4.0;france;Unfavorable
alberts.pdf;both;others;benelux;Very Unfavorable
alouette.pdf;soft;industry 4.0;france;Very Unfavorable
aloxy.pdf;both;industry 4.0;benelux;Interesting
altosolution.pdf;hard;energy transition;france;Unfavorable
altransenergy.pdf;hard;industry 4.0;france;Very Unfavorable
amethyste.pdf;soft;industry 4.0;france;Very Unfavorable
amflow.pdf;soft;industry 4.0;benelux;Very Unfavorable
amiraltechnologies.pdf;soft;industry 4.0;france;Unfavorable
anabrid.pdf;hard;new materials;germany;Very Unfavorable
ananke.pdf;hard;energy transition;france;Unfavorable
appsilon.pdf;hard;others;benelux;Very Unfavorable
aprexsolutions.pdf;soft;industry 4.0;france;Unfavorable
aquilae.pdf;soft;industry 4.0;france;Interesting
aredox.pdf;hard;energy transition;france;Very Unfavorable
arkcapturesolutions.pdf;hard;energy transition;benelux;Unfavorable
arkeocean.pdf;hard;others;france;Unfavorable
askforthemoon.pdf;soft;industry 4.0;france;Very Unfavorable
askforthemoon2.pdf;soft;industry 4.0;france;Unfavorable
astriis.pdf;soft;industry 4.0;france;Unfavorable
atmocoat.pdf;hard;new materials;germany;Unfavorable
avoxt.pdf;hard;energy transition;benelux;Interesting
axfenergy.pdf;hard;energy transition;germany;Very Unfavorable
azteq.pdf;hard;energy transition;benelux;Unfavorable
azteq2.pdf;hard;energy transition;benelux;Very Unfavorable
batiprint3d.pdf;hard;industry 4.0;france;Out
beagle.pdf;both;others;other;Out
bianergy2.pdf;hard;others;benelux;Very Unfavorable
biocide.pdf;hard;industry 4.0;other;Very Unfavorable
blixt.pdf;both;energy transition;other;Out
bloom.pdf;soft;energy transition;other;Very Unfavorable
bluepowersynergy.pdf;hard;energy transition;benelux;Very Unfavorable
bondzai.pdf;both;industry 4.0;france;Unfavorable
bonidriver.pdf;soft;others;germany;Out
borealesenergy.pdf;hard;energy transition;france;Very Unfavorable
brighterbins.pdf;both;energy transition;benelux;Unfavorable
bulane.pdf;hard;energy transition;france;Very Unfavorable
